repo;path;name;type;size;created;created_by;modified;modified_by;updated;producerId;moduleId;version;id;url
drivers;@actility/adeunis-comfort/-/@actility;adeunis-comfort-1.1.4.tgz;file;6944;2021-02-02T10:54:20.735Z;jenkins;2021-02-02T10:54:20.707Z;jenkins;2021-02-02T10:54:20.736Z;actility;adeunis-comfort;1.1.4;actility:adeunis-comfort:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-comfort/-/@actility/adeunis-comfort-1.1.4.tgz
drivers;@actility/adeunis-delta-p/-/@actility;adeunis-delta-p-1.1.4.tgz;file;7833;2021-02-02T10:54:23.582Z;jenkins;2021-02-02T10:54:23.552Z;jenkins;2021-02-02T10:54:23.583Z;actility;adeunis-delta-p;1.1.4;actility:adeunis-delta-p:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-delta-p/-/@actility/adeunis-delta-p-1.1.4.tgz
drivers;@actility/dl-mbx/-/@actility;dl-mbx-1.1.3.tgz;file;1508;2021-02-02T11:03:59.816Z;jenkins;2021-02-02T11:03:59.695Z;jenkins;2021-02-02T11:03:59.816Z;actility;dl-mbx;1.1.3;actility:dl-mbx:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-mbx/-/@actility/dl-mbx-1.1.3.tgz
drivers;@actility/dl-pr26/-/@actility;dl-pr26-1.1.3.tgz;file;1578;2021-02-02T11:04:01.971Z;jenkins;2021-02-02T11:04:01.922Z;jenkins;2021-02-02T11:04:01.971Z;actility;dl-pr26;1.1.3;actility:dl-pr26:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-pr26/-/@actility/dl-pr26-1.1.3.tgz
drivers;@actility/globalsat-lt-100/-/@actility;globalsat-lt-100-1.0.1.tgz;file;4017;2020-09-14T11:38:57.427Z;jenkins;2020-09-14T11:38:57.345Z;jenkins;2020-09-14T11:38:57.43Z;actility;globalsat-lt-100;1.0.1;actility:globalsat-lt-100:1;https://repo.int.actility.com/artifactory/drivers/@actility/globalsat-lt-100/-/@actility/globalsat-lt-100-1.0.1.tgz
drivers;@actility/dl-tbrg/-/@actility;dl-tbrg-1.1.3.tgz;file;1640;2021-02-02T11:04:06.644Z;jenkins;2021-02-02T11:04:06.62Z;jenkins;2021-02-02T11:04:06.644Z;actility;dl-tbrg;1.1.3;actility:dl-tbrg:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-tbrg/-/@actility/dl-tbrg-1.1.3.tgz
drivers;@actility/adeunis-pulse3/-/@actility;adeunis-pulse3-1.1.4.tgz;file;7075;2021-02-02T10:54:25.342Z;jenkins;2021-02-02T10:54:24.997Z;jenkins;2021-02-02T10:54:25.342Z;actility;adeunis-pulse3;1.1.4;actility:adeunis-pulse3:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-pulse3/-/@actility/adeunis-pulse3-1.1.4.tgz
drivers;@actility/globalsat-th/-/@actility;globalsat-th-1.0.1.tgz;file;3290;2020-09-14T11:38:56.552Z;jenkins;2020-09-14T11:38:56.508Z;jenkins;2020-09-14T11:38:56.553Z;actility;globalsat-th;1.0.1;actility:globalsat-th:1;https://repo.int.actility.com/artifactory/drivers/@actility/globalsat-th/-/@actility/globalsat-th-1.0.1.tgz
drivers;@actility/dl-atm22/-/@actility;dl-atm22-1.1.3.tgz;file;1857;2021-02-02T11:03:53.029Z;jenkins;2021-02-02T11:03:53.005Z;jenkins;2021-02-02T11:03:53.029Z;actility;dl-atm22;1.1.3;actility:dl-atm22:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-atm22/-/@actility/dl-atm22-1.1.3.tgz
drivers;@actility/globalsat-lt-501/-/@actility;globalsat-lt-501-1.0.1.tgz;file;5850;2020-09-14T11:38:58.332Z;jenkins;2020-09-14T11:38:58.268Z;jenkins;2020-09-14T11:38:58.333Z;actility;globalsat-lt-501;1.0.1;actility:globalsat-lt-501:1;https://repo.int.actility.com/artifactory/drivers/@actility/globalsat-lt-501/-/@actility/globalsat-lt-501-1.0.1.tgz
drivers;@actility/adeunis-modbus/-/@actility;adeunis-modbus-1.1.4.tgz;file;10080;2021-02-02T10:54:28.247Z;jenkins;2021-02-02T10:54:27.887Z;jenkins;2021-02-02T10:54:28.247Z;actility;adeunis-modbus;1.1.4;actility:adeunis-modbus:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-modbus/-/@actility/adeunis-modbus-1.1.4.tgz
drivers;@abeeway/asset-tracker/-/@abeeway;asset-tracker-3.1.2.tgz;file;37819;2021-04-29T08:03:23.107Z;jenkins;2021-04-29T08:03:23.092Z;jenkins;2021-04-29T08:03:23.108Z;abeeway;asset-tracker;3.1.2;abeeway:asset-tracker:3;https://repo.int.actility.com/artifactory/drivers/@abeeway/asset-tracker/-/@abeeway/asset-tracker-3.1.2.tgz
